filename,total_pages,new_start,new_end,new_pages,new_md_words,gt_words,coverage,jaccard,start_signals,end_signal,action,reason
Burger_King_India_Ltd_.pdf,339,21,52,31,28578,28403,1.006,0.964,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
CMR_Green_Technologies_Ltd_.pdf,504,36,74,38,32641,32296,1.011,0.981,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,material_adverse_effect_business",section_introduction,WROTE_NEW,certified_clean
CMS_Info_Systems_Ltd_.pdf,560,14,48,34,26264,26187,1.003,0.984,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
CSB_Bank_Ltd_.pdf,604,22,52,30,24392,24292,1.004,0.989,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
CSM_Technologies_Ltd_.pdf,508,29,81,52,39399,38631,1.02,0.92,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
C_E_Info_systems_Ltd_.pdf,329,31,57,26,23140,23011,1.006,0.966,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Campus_Activewear_Ltd_.pdf,523,31,75,44,32224,32437,0.993,0.985,"high_degree_of_risk,header_section_risk_factors",section_introduction,WROTE_NEW,certified_clean
Canara_HSBC_Life_Insurance_Co_Ltd_.pdf,687,41,94,53,42787,42187,1.014,0.946,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment,material_adverse_effect_business",section_introduction,WROTE_NEW,certified_clean
Canara_Robeco_Asset_Management_Co_Ltd_.pdf,639,35,84,49,34908,34599,1.009,0.962,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Capillary_Technologies_India_Ltd_.pdf,637,37,106,69,53648,52158,1.029,0.871,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Capital_Small_Finance_Bank_Ltd_.pdf,484,31,82,51,36696,36689,1.0,0.962,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
CarTrade_Tech_Ltd_.pdf,340,24,53,29,21353,21223,1.006,0.991,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Carraro_India_Ltd_.pdf,505,29,79,50,40356,39269,1.028,0.961,"high_degree_of_risk,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Ceigall_India_Ltd_.pdf,473,37,79,42,33257,32894,1.011,0.991,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
Cello_World_Ltd_.pdf,607,40,73,33,24185,23444,1.032,0.931,"high_degree_of_risk,internal_risk_factors_header,header_section_risk_factors,lose_all_or_part_investment",section_introduction,WROTE_NEW,certified_clean
