filename,total_pages,risk_start_page,risk_end_page,risk_pages,chars,words,n_tables,status,error
Delhivery_Ltd_.pdf,650,37,91,54,271763,39430,143,ok,
Denta_Water___Infra_Solutions_Ltd_.pdf,423,34,72,38,193383,28950,115,ok,
Dev_Accelerator_Ltd_.pdf,473,42,83,41,204932,30533,175,ok,
Devyani_International_Ltd_.pdf,421,28,60,32,189742,29503,21,ok,
Dharmaj_Crop_Guard_Ltd_.pdf,401,33,69,36,175819,26625,29,ok,
Diffusion_Engineers_Ltd_.pdf,529,41,94,53,226188,33655,173,ok,
Divgi_TorqTransfer_Systems_Ltd_.pdf,403,29,58,29,170861,24247,198,ok,
Dodla_Dairy_Ltd_.pdf,326,20,48,28,158334,24625,19,ok,
Dr_Agarwal_s_Health_Care_Ltd_.pdf,500,37,76,39,215825,32342,133,ok,
Dreamfolks_Services_Ltd_.pdf,334,25,48,23,117803,18218,13,ok,
ECOS__India__Mobility___Hospitality_Ltd_.pdf,364,27,65,38,204089,30039,179,ok,
EMS_Ltd_.pdf,540,34,90,56,235888,36377,96,ok_A_strict,tried: A_strict=pp34-90
EPACK_Durable_Ltd_.pdf,506,40,79,39,194624,29263,125,ok,
ESAF_Small_Finance_Bank_Ltd_.pdf,518,39,99,60,329030,47146,422,ok,
Easy_Trip_Planners_Ltd_.pdf,475,25,66,41,211999,32165,26,ok,
Electronics_Mart_India_Ltd_.pdf,401,26,63,37,170194,25894,79,ok,
Elin_Electronics_Ltd_.pdf,415,29,60,31,160331,24362,44,ok,
Ellenbarrie_Industrial_Gases_Ltd_.pdf,417,31,67,36,216735,32106,160,ok,
Emcure_Pharmaceuticals_Ltd_.pdf,546,46,101,55,288046,42567,164,ok,
Emmvee_Photovoltaic_Power_Ltd_.pdf,511,35,86,51,267326,37292,341,ok,
Entero_Healthcare_Solutions_Ltd_.pdf,573,38,71,33,149805,22274,115,ok,
Enviro_Infra_Engineers_Ltd_.pdf,531,39,88,49,222961,32844,181,ok,
Epack_Prefab_Technologies_Ltd_.pdf,504,36,74,38,217104,31402,196,ok,
Equitas_Small_Finance_Bank_Ltd_.pdf,390,24,55,31,184685,28669,21,ok,
Ethos_Ltd_.pdf,565,38,80,42,185766,27279,174,ok,
Euro_Pratik_Sales_Ltd_.pdf,490,33,75,42,220090,32082,198,ok,
Excelsoft_Technologies_Ltd_.pdf,485,40,89,49,252036,36808,182,ok,
Exicom_Tele-Systems_Ltd_.pdf,492,35,84,49,256049,35838,367,ok,
Exxaro_Tiles_Ltd_.pdf,363,23,49,26,129670,19912,26,ok,
FSN_E-Commerce_Ventures_Ltd_.pdf,601,46,94,48,212178,32491,13,ok,
Fabtech_Technologies_Ltd_.pdf,521,39,104,65,306599,44176,305,ok,
Fedbank_Financial_Services_Ltd_.pdf,506,31,77,46,272193,41029,226,ok,
Fino_Payments_Bank_Ltd_.pdf,338,22,51,29,174934,27180,10,ok,
Five-Star_Business_Finance_Ltd_.pdf,468,26,56,30,170346,26182,51,ok,
Flair_Writing_Industries_Ltd_.pdf,489,34,80,46,222998,32059,233,ok,
Fractal_Analytics_Ltd_.pdf,652,40,86,46,248916,37486,142,ok,
Fujiyama_Power_Systems_Ltd_.pdf,577,40,97,57,242890,33574,321,ok,
Fusion_Micro_Finance_Ltd_.pdf,465,26,62,36,170898,26580,15,ok,
GK_Energy_Ltd_.pdf,465,35,69,34,182165,26181,164,ok,
GNG_Electronics_Ltd_.pdf,407,29,68,39,201231,28873,234,ok,
GPT_Healthcare_Ltd_.pdf,506,35,82,47,239998,33399,327,ok,
GSP_Crop_Science_Ltd_.pdf,569,37,94,57,291151,39075,387,ok,
G_R_Infraprojects_Ltd_.pdf,643,19,58,39,198310,30646,41,ok,
Gala_Precision_Engineering_Ltd_.pdf,523,41,71,30,162837,24588,77,ok,
Gandhar_Oil_Refinery__India__Ltd_.pdf,646,37,81,44,219657,32693,121,ok,
Ganesh_Consumer_Products_Ltd_.pdf,588,35,76,41,185811,27041,186,ok,
Garuda_Construction___Engineering_Ltd_.pdf,407,35,78,43,204257,31025,88,ok,
Gaudium_IVF___Women_Health_Ltd_.pdf,448,36,72,36,158023,23011,131,ok,
