company,year,listing_date,first_day_return,file_stem,chars,words,n_numbered_items,max_item_number,n_sequence_gaps,sequence_gaps,is_ocr,n_criminal_proceedings,n_regulatory_action,n_customer_concentration,n_supplier_concentration,n_promoter_pledge_narrow,n_promoter_pledge_broad,n_going_concern,n_auditor_qualification,n_contingent_liabilities,n_pending_approvals,n_related_party,n_litigation_general,n_rupee_near_litigation,n_rupee_near_contingent,n_rupee_near_related_party,extraction_status,extraction_family
Indigo Paints Ltd.,2021,2021-02-02,1.0930536912751678,Indigo_Paints_Ltd_,185704,28862,83,83,0,,False,4,6,0,0,0,4,1,2,5,2,3,8,7,0,0,ok,ok
Home First Finance Co.India Ltd.,2021,2021-02-03,0.0181467181467181,Home_First_Finance_Co_India_Ltd_,112455,17849,57,57,0,,False,2,7,0,0,0,1,0,1,0,0,5,6,3,0,0,ok,ok
Stove Kraft Ltd.,2021,2021-02-05,0.1583116883116883,Stove_Kraft_Ltd_,166064,26239,81,81,0,,False,8,5,0,0,0,0,0,0,5,0,3,17,0,0,0,ok,ok
Nureca Ltd.,2021,2021-02-25,0.6666249999999999,Nureca_Ltd_,111794,17292,56,56,0,,False,0,2,0,0,0,0,0,6,0,0,7,1,0,0,0,ok,ok
RailTel Corp.of India Ltd.,2021,2021-02-26,0.2914893617021277,RailTel_Corp_of_India_Ltd_,162159,25210,74,74,0,,False,1,3,0,0,0,2,0,4,4,0,8,4,0,0,0,ok,ok
Heranba Industries Ltd.,2021,2021-03-05,0.2954545454545454,Heranba_Industries_Ltd_,89329,14082,66,66,0,,False,0,3,0,0,0,1,0,0,4,0,5,7,2,0,2,ok,ok
MTAR Technologies Ltd.,2021,2021-03-15,0.8821739130434783,MTAR_Technologies_Ltd_,178435,27817,57,57,0,,False,0,5,4,2,0,1,2,3,0,0,6,4,0,0,0,ok,ok
Easy Trip Planners Ltd.,2021,2021-03-19,0.113903743315508,Easy_Trip_Planners_Ltd_,205814,31720,74,74,0,,False,3,1,0,0,0,2,0,6,7,0,9,9,4,0,4,ok,ok
Anupam Rasayan India Ltd.,2021,2021-03-24,-0.0524324324324324,Anupam_Rasayan_India_Ltd_,191685,29591,87,87,0,,False,0,6,2,0,0,1,0,0,3,1,11,1,0,0,8,ok,ok
Laxmi Organic Industries Ltd.,2021,2021-03-25,0.2661538461538461,Laxmi_Organic_Industries_Ltd_,181816,28271,61,61,0,,False,4,2,0,1,0,1,0,2,9,0,6,5,2,0,0,ok,ok
Craftsman Automation Ltd.,2021,2021-03-25,-0.0382550335570469,Craftsman_Automation_Ltd_,152651,23737,76,77,1,3,False,1,2,1,0,0,1,0,3,4,0,8,4,2,2,0,ok,ok
Suryoday Small Finance Bank Ltd.,2021,2021-03-26,-0.0944262295081967,Suryoday_Small_Finance_Bank_Ltd_,205403,32051,85,85,0,,False,0,2,0,0,0,8,0,0,6,0,5,3,3,3,0,ok,ok
Kalyan Jewellers India Ltd.,2021,2021-03-26,-0.1344827586206896,Kalyan_Jewellers_India_Ltd_,168323,26358,70,70,0,,False,6,4,0,0,0,1,1,0,9,0,6,15,3,3,1,ok,ok
Nazara Technologies Ltd.,2021,2021-03-30,0.4321525885558582,Nazara_Technologies_Ltd_,191491,29623,78,78,0,,False,0,4,1,0,0,0,1,0,0,0,7,4,0,0,0,ok,ok
Barbeque-Nation Hospitality Ltd.,2021,2021-04-07,0.1807999999999999,Barbeque-Nation_Hospitality_Ltd_,177662,27836,84,84,0,,False,4,11,0,0,0,12,0,0,4,0,3,13,8,6,0,ok_A_strict,ok_patched
Macrotech Developers Ltd.,2021,2021-04-19,-0.0470164609053498,Macrotech_Developers_Ltd_,144151,22616,61,61,0,,False,6,2,0,0,0,3,0,5,7,0,3,22,38,3,5,ok,ok
Shyam Metalics & Energy Ltd.,2021,2021-06-24,0.2282679738562092,Shyam_Metalics___Energy_Ltd_,174852,27162,85,85,0,,False,6,4,2,0,0,1,0,1,4,1,10,15,0,0,14,ok,ok
Sona BLW Precision Forgings Ltd.,2021,2021-06-24,0.2469072164948454,Sona_BLW_Precision_Forgings_Ltd_,191088,29634,70,70,0,,False,0,1,8,0,0,4,0,0,8,0,4,5,4,5,1,ok,ok
Krishna Institute of Medical Sciences Ltd.,2021,2021-06-28,0.2071515151515151,Krishna_Institute_of_Medical_Sciences_Ltd_,194064,30139,51,73,22,"6,12,17,21,22,25,26,27,30,32,33,35,38,39,49,50,52,57,60,61",False,7,10,0,0,0,1,1,0,3,0,11,12,4,0,0,ok,ok
Dodla Dairy Ltd.,2021,2021-06-28,0.4231308411214954,Dodla_Dairy_Ltd_,156180,24447,75,75,0,,False,10,9,0,0,0,0,0,0,4,0,3,8,0,0,0,ok,ok
India Pesticides Ltd.,2021,2021-07-05,0.1592905405405404,India_Pesticides_Ltd_,228884,35422,89,89,0,,False,9,5,3,0,0,1,0,0,6,1,7,9,0,0,8,ok,ok
Clean Science & Technology Ltd.,2021,2021-07-19,0.7613333333333334,Clean_Science___Technology_Ltd_,198610,30675,88,88,0,,False,3,6,4,0,0,1,0,0,1,2,13,5,0,0,8,ok,ok
G R Infraprojects Ltd.,2021,2021-07-19,1.0869772998805256,G_R_Infraprojects_Ltd_,193813,30349,97,97,0,,False,0,2,0,0,0,13,0,1,6,0,4,7,0,0,1,ok,ok
Zomato Ltd.,2021,2021-07-23,0.6559210526315788,Zomato_Ltd_,178475,27516,69,69,0,,False,4,4,0,0,0,0,0,0,3,0,9,13,11,1,11,ok,ok
Tatva Chintan Pharma Chem Ltd.,2021,2021-07-29,1.1331948291782086,Tatva_Chintan_Pharma_Chem_Ltd_,169258,26272,83,83,0,,False,0,1,2,1,0,1,0,1,0,0,4,3,0,0,0,ok,ok
Glenmark Life Sciences Ltd.,2021,2021-08-06,0.0391666666666667,Glenmark_Life_Sciences_Ltd_,123459,19290,59,59,0,,False,3,2,0,0,0,2,0,0,4,0,7,2,0,0,0,ok,ok
Rolex Rings Ltd.,2021,2021-08-09,0.2961666666666666,Rolex_Rings_Ltd_,126702,19650,45,45,0,,False,0,2,2,0,0,14,1,0,6,0,8,3,0,4,0,ok,ok
Windlas Biotech Ltd.,2021,2021-08-16,-0.1158695652173913,Windlas_Biotech_Ltd_,222938,34246,81,81,0,,False,4,9,2,0,0,1,0,1,1,1,7,8,0,0,9,ok,ok
Exxaro Tiles Ltd.,2021,2021-08-16,0.1020833333333333,Exxaro_Tiles_Ltd_,125221,19556,72,72,0,,False,4,3,0,1,0,1,0,3,3,0,4,6,3,0,0,ok,ok
Devyani International Ltd.,2021,2021-08-16,0.3705555555555554,Devyani_International_Ltd_,186251,29177,79,79,0,,False,6,2,0,0,0,2,6,3,4,0,5,6,0,0,1,ok,ok
Krsnaa Diagnostics Ltd.,2021,2021-08-16,0.0385220125786163,Krsnaa_Diagnostics_Ltd_,185566,28693,83,83,0,,False,0,6,0,0,0,2,0,0,4,0,6,4,0,1,10,ok,ok
CarTrade Tech Ltd.,2021,2021-08-20,-0.0728677379480841,CarTrade_Tech_Ltd_,133128,20846,57,57,0,,False,1,2,0,0,0,0,0,3,8,0,3,6,3,2,0,ok,ok
Nuvoco Vistas Corp.Ltd.,2021,2021-08-23,-0.0678947368421053,Nuvoco_Vistas_Corp_Ltd_,254377,39713,89,89,0,,False,6,9,0,1,0,2,0,0,8,0,5,20,2,3,0,ok,ok
Chemplast Sanmar Ltd.,2021,2021-08-24,-0.011275415896488,Chemplast_Sanmar_Ltd_,121314,18864,65,65,0,,False,0,3,4,0,0,10,1,12,4,0,5,13,0,0,0,ok,ok
Aptus Value Housing Finance India Ltd.,2021,2021-08-24,-0.018413597733711,Aptus_Value_Housing_Finance_India_Ltd_,163346,25837,78,78,0,,False,3,6,0,0,0,8,0,5,4,0,7,5,0,0,1,ok,ok
Vijaya Diagnostic Centre Ltd.,2021,2021-09-14,0.1662900188323916,Vijaya_Diagnostic_Centre_Ltd_,117852,18434,58,58,0,,False,12,1,0,0,0,0,0,0,4,0,3,8,1,0,0,ok,ok
Ami Organics Ltd.,2021,2021-09-14,0.5320491803278687,Ami_Organics_Ltd_,170256,26301,82,82,0,,False,0,4,2,2,0,1,0,0,4,0,7,2,1,0,0,ok,ok
Sansera Engineering Ltd.,2021,2021-09-24,0.1004032258064516,Sansera_Engineering_Ltd_,186587,29249,77,77,0,,False,0,3,2,0,0,0,0,0,6,1,5,8,1,0,9,ok,ok
Paras Defence & Space Technologies Ltd.,2021,2021-10-01,1.85,Paras_Defence___Space_Technologies_Ltd_,176074,27648,66,66,0,,False,0,5,1,0,0,1,0,5,1,0,3,3,0,0,0,ok,ok
Aditya Birla Sun Life AMC Ltd.,2021,2021-10-11,-0.0173455056179775,Aditya_Birla_Sun_Life_AMC_Ltd_,152271,23820,63,63,0,,False,2,9,0,0,0,1,1,0,6,0,5,5,0,0,0,ok,ok
FSN E-Commerce Ventures Ltd.,2021,2021-11-10,0.961511111111111,FSN_E-Commerce_Ventures_Ltd_,208808,32167,78,78,0,,False,5,1,0,0,0,10,1,0,7,0,6,18,9,0,0,ok,ok
Fino Payments Bank Ltd.,2021,2021-11-12,-0.0550259965337954,Fino_Payments_Bank_Ltd_,172875,26934,66,66,0,,False,7,3,0,0,0,2,0,4,4,0,4,6,7,0,3,ok,ok
PB Fintech Ltd.,2021,2021-11-15,0.2274489795918368,PB_Fintech_Ltd_,195897,30131,70,70,0,,False,1,10,0,0,0,3,0,2,7,0,7,11,0,3,0,ok,ok
Sigachi Industries Ltd.,2021,2021-11-15,2.7039877300613497,Sigachi_Industries_Ltd_,191156,30210,89,89,0,,False,1,1,3,1,0,2,0,0,7,0,7,4,0,0,0,ok,ok
S.J.S.Enterprises Ltd.,2021,2021-11-15,-0.0593173431734316,S_J_S_Enterprises_Ltd_,181079,27920,64,66,2,"5,6",False,0,4,3,0,0,2,1,0,4,0,3,7,0,0,0,ok,ok
One 97 Communications Ltd.,2021,2021-11-18,-0.2724883720930232,One_97_Communications_Ltd_,217523,33548,53,53,0,,False,1,5,0,0,0,0,0,7,6,0,8,7,0,0,0,ok,ok
Sapphire Foods India Ltd.,2021,2021-11-18,0.030550847457627,Sapphire_Foods_India_Ltd_,219641,34449,72,72,0,,False,10,3,0,0,0,1,0,5,16,0,8,15,6,0,12,ok,ok
Latent View Analytics Ltd.,2021,2021-11-23,1.4802030456852793,Latent_View_Analytics_Ltd_,175807,27120,69,73,4,"13,18,36,41",False,1,5,0,0,0,1,0,0,1,0,9,5,0,0,0,ok,ok
Tarsons Products Ltd.,2021,2021-11-26,0.2688821752265861,Tarsons_Products_Ltd_,153014,24026,59,59,0,,False,0,6,1,1,0,2,0,4,0,1,4,1,0,0,0,ok,ok
Go Fashion (India) Ltd.,2021,2021-11-30,0.8153623188405795,Go_Fashion__India__Ltd_,180267,26557,71,72,1,12,False,1,1,0,0,0,1,0,0,6,0,7,4,0,0,0,ok,ok
Star Health & Allied Insurance Co.Ltd.,2021,2021-12-10,0.0076111111111111,Star_Health___Allied_Insurance_Co_Ltd_,212973,33015,82,82,0,,False,5,15,0,0,0,3,0,0,5,0,0,9,3,0,0,ok,ok
Tega Industries Ltd.,2021,2021-12-13,0.6015452538631346,Tega_Industries_Ltd_,190965,29598,79,79,0,,False,3,6,1,0,0,0,3,7,3,0,9,8,1,0,0,ok,ok
Anand Rathi Wealth Ltd.,2021,2021-12-14,0.0609090909090909,Anand_Rathi_Wealth_Ltd_,147470,23165,68,68,0,,False,7,7,0,0,0,0,0,0,4,0,7,19,9,0,9,ok,ok
Rategain Travel Technologies Ltd.,2021,2021-12-17,-0.1988235294117647,Rategain_Travel_Technologies_Ltd_,183831,28312,80,80,0,,False,1,3,0,0,0,1,0,0,3,0,6,9,0,0,5,ok,ok
Shriram Properties Ltd.,2021,2021-12-20,-0.1576271186440677,Shriram_Properties_Ltd_,161537,25218,72,72,0,,False,0,4,0,0,0,10,0,8,10,0,3,16,1,0,0,ok,ok
C.E.Info systems Ltd.,2021,2021-12-21,0.35,C_E_Info_systems_Ltd_,148397,22952,63,63,0,,False,2,4,0,0,0,1,0,0,6,0,2,5,0,0,0,ok,ok
Metro Brands Ltd.,2021,2021-12-22,-0.0128999999999999,Metro_Brands_Ltd_,162816,25617,69,69,0,,False,4,4,0,0,0,1,0,0,4,0,11,10,0,0,10,ok,ok
Medplus Health Services Ltd.,2021,2021-12-23,0.4081030150753768,Medplus_Health_Services_Ltd_,155596,24170,65,65,0,,False,1,9,0,0,0,16,0,0,6,1,2,9,1,3,0,ok,ok
Data Patterns (India) Ltd.,2021,2021-12-24,0.2903418803418803,Data_Patterns__India__Ltd_,154958,24170,66,66,0,,False,1,4,1,0,0,7,0,1,1,0,4,3,0,0,0,ok,ok
HP Adhesives Ltd.,2021,2021-12-27,0.2224452554744525,HP_Adhesives_Ltd_,163962,25442,76,78,2,"25,26",False,2,8,0,0,0,3,1,1,6,1,3,3,0,0,0,ok,ok
Supriya Lifescience Ltd.,2021,2021-12-28,0.4246350364963504,Supriya_Lifescience_Ltd_,110678,17152,57,57,0,,False,0,5,2,0,0,0,0,0,4,0,4,6,0,0,0,ok,ok
CMS Info Systems Ltd.,2021,2021-12-31,0.0990740740740741,CMS_Info_Systems_Ltd_,166215,26110,59,59,0,,False,2,0,3,0,0,12,0,0,7,0,1,7,0,0,0,ok,ok
AGS Transact Technologies Ltd.,2022,2022-01-31,-0.0782857142857142,AGS_Transact_Technologies_Ltd_,169928,26693,67,67,0,,False,11,3,4,0,0,1,0,2,3,0,9,21,5,0,11,ok,ok
Adani Wilmar Ltd.,2022,2022-02-08,0.1530434782608695,Adani_Wilmar_Ltd_,156859,24580,77,77,0,,False,6,2,0,0,0,1,0,0,4,2,6,7,10,0,0,ok,ok
Vedant Fashions Ltd.,2022,2022-02-16,0.0795034642032332,Vedant_Fashions_Ltd_,154688,24146,62,62,0,,False,0,1,0,0,0,1,1,3,7,0,2,12,0,0,0,ok,ok
Uma Exports Ltd.,2022,2022-04-07,0.2352941176470588,Uma_Exports_Ltd_,142187,22236,82,82,0,,False,0,2,2,0,0,2,0,0,6,0,7,3,2,4,0,ok,ok
Veranda Learning Solutions Ltd.,2022,2022-04-11,0.1708029197080292,Veranda_Learning_Solutions_Ltd_,118863,18564,66,66,0,,False,0,4,0,0,0,3,0,0,0,1,10,6,0,0,3,ok_A_strict,ok_patched
Hariom Pipe Industries Ltd.,2022,2022-04-13,0.4686274509803921,Hariom_Pipe_Industries_Ltd_,120359,18754,72,72,0,,False,0,0,3,2,0,1,0,0,5,0,4,9,0,0,0,ok,ok
Campus Activewear Ltd.,2022,2022-05-09,0.2965753424657535,Campus_Activewear_Ltd_,195766,30601,75,76,1,44,False,0,1,0,0,0,1,0,0,7,0,7,5,0,1,10,ok,ok
Rainbow Children's Medicare Ltd.,2022,2022-05-10,-0.1695571955719556,Rainbow_Children_s_Medicare_Ltd_,159693,24687,65,65,0,,False,2,5,0,0,0,1,0,0,8,0,3,9,2,0,0,ok,ok
Life Insurance Corp.of India,2022,2022-05-17,-0.0775026343519493,Life_Insurance_Corp_of_India,261819,40337,80,80,0,,False,2,8,0,0,0,0,0,0,9,0,7,9,3,0,6,ok,ok
Prudent Corporate Advisory Services Ltd.,2022,2022-05-20,-0.1068253968253967,Prudent_Corporate_Advisory_Services_Ltd_,143070,22260,63,63,0,,False,3,10,0,0,0,5,0,0,7,0,6,7,1,1,2,ok,ok
Venus Pipes & Tubes Ltd.,2022,2022-05-24,0.0789877300613497,Venus_Pipes___Tubes_Ltd_,190706,29795,80,80,0,,False,0,6,3,0,0,1,0,3,7,0,9,7,4,4,3,ok,ok
Delhivery Ltd.,2022,2022-05-24,0.103182751540041,Delhivery_Ltd_,246189,37903,67,67,0,,False,0,5,2,0,0,0,0,7,7,0,9,4,4,0,5,ok,ok
Paradeep Phosphates Ltd.,2022,2022-05-27,0.0464285714285715,Paradeep_Phosphates_Ltd_,158148,24668,74,74,0,,False,0,6,0,0,0,0,4,4,6,0,5,9,0,0,0,ok,ok
Ethos Ltd.,2022,2022-05-30,-0.085876993166287,Ethos_Ltd_,163221,25657,78,78,0,,False,2,3,0,1,0,1,0,4,4,1,11,6,0,0,0,ok,ok
eMudhra Ltd.,2022,2022-06-01,0.0111328125,eMudhra_Ltd_,217700,33922,88,88,0,,False,0,0,0,0,0,1,0,0,7,0,5,15,1,2,0,ok,ok
Aether Industries Ltd.,2022,2022-06-03,0.2098909657320872,Aether_Industries_Ltd_,181709,28179,84,84,0,,False,0,0,4,0,0,1,1,0,6,1,2,6,0,0,0,ok,ok
Syrma SGS Technology Ltd.,2022,2022-08-26,0.4229545454545455,Syrma_SGS_Technology_Ltd_,188247,29114,49,83,34,"7,8,17,18,19,21,22,26,27,30,31,32,40,43,44,46,47,48,49,50",False,0,1,2,0,0,1,0,0,7,0,6,4,0,0,0,ok,ok
Dreamfolks Services Ltd.,2022,2022-09-06,0.4191717791411042,Dreamfolks_Services_Ltd_,112557,17565,67,67,0,,False,0,3,1,0,0,2,0,0,0,0,7,2,2,0,0,ok,ok
Tamilnad Mercantile Bank Ltd.,2022,2022-09-15,-0.0030392156862745,Tamilnad_Mercantile_Bank_Ltd_,186564,29381,52,52,0,,False,2,25,0,0,0,2,0,4,5,0,7,22,12,0,2,ok,ok
Harsha Engineers International Ltd.,2022,2022-09-26,0.4724242424242423,Harsha_Engineers_International_Ltd_,162776,25482,65,65,0,,False,0,1,1,0,0,1,0,0,4,0,10,6,0,0,0,ok,ok
Electronics Mart India Ltd.,2022,2022-10-17,0.4313559322033898,Electronics_Mart_India_Ltd_,160901,25259,82,82,0,,False,5,2,0,1,0,1,1,0,6,0,6,13,3,0,0,ok,ok
Tracxn Technologies Ltd.,2022,2022-10-20,0.1668749999999999,Tracxn_Technologies_Ltd_,181075,28117,77,77,0,,False,0,0,0,0,0,1,0,5,4,0,7,3,0,0,0,ok,ok
DCX Systems Ltd.,2022,2022-11-11,0.4917874396135266,DCX_Systems_Ltd_,198004,30930,89,89,0,,False,0,2,2,2,0,1,0,10,5,0,10,2,0,0,0,ok,ok
Fusion Micro Finance Ltd.,2022,2022-11-15,-0.1171195652173913,Fusion_Micro_Finance_Ltd_,168459,26422,69,90,21,"69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88",False,1,4,0,0,0,1,0,2,0,0,2,10,6,0,0,ok,ok
Bikaji Foods International Ltd.,2022,2022-11-16,0.0581666666666666,Bikaji_Foods_International_Ltd_,239616,37126,65,65,0,,False,1,3,0,0,0,1,10,5,3,0,8,7,1,1,10,ok,ok
Global Health Ltd.,2022,2022-11-16,0.2370535714285713,Global_Health_Ltd_,228455,35571,66,66,0,,False,2,18,0,0,0,10,0,0,5,0,5,12,5,0,0,ok,ok
Archean Chemical Industries Ltd.,2022,2022-11-21,0.1251842751842751,Archean_Chemical_Industries_Ltd_,168974,26108,78,78,0,,False,0,1,2,0,0,5,1,0,6,0,4,7,3,4,10,ok,ok
Five-Star Business Finance Ltd.,2022,2022-11-21,0.0327004219409282,Five-Star_Business_Finance_Ltd_,163268,25712,65,65,0,,False,5,6,0,0,0,1,0,6,5,0,8,3,0,0,0,ok,ok
Kaynes Technology India Ltd.,2022,2022-11-22,0.1756388415672913,Kaynes_Technology_India_Ltd_,221535,34352,89,89,0,,False,0,3,4,0,0,16,0,0,8,0,10,2,0,0,0,ok,ok
Inox Green Energy Services Ltd.,2022,2022-11-23,-0.0907692307692307,Inox_Green_Energy_Services_Ltd_,162569,25540,72,72,0,,False,13,1,0,1,0,1,1,9,8,0,10,9,3,2,5,ok,ok
Keystone Realtors Ltd.,2022,2022-11-24,0.0310536044362291,Keystone_Realtors_Ltd_,189939,29413,73,73,0,,False,3,3,0,0,0,1,15,15,3,1,7,10,2,0,10,ok,ok
Dharmaj Crop Guard Ltd.,2022,2022-12-08,0.1240506329113923,Dharmaj_Crop_Guard_Ltd_,170727,26313,78,78,0,,False,1,4,2,0,0,1,0,0,7,0,5,7,0,5,1,ok,ok
Uniparts India Ltd.,2022,2022-12-12,-0.0649046793760832,Uniparts_India_Ltd_,219334,34344,79,79,0,,False,2,4,6,1,0,2,0,0,6,0,4,6,1,0,2,ok,ok
Sula Vineyards Ltd.,2022,2022-12-22,-0.0724089635854342,Sula_Vineyards_Ltd_,205188,32087,78,78,0,,False,2,5,3,0,0,2,1,5,5,0,13,9,3,2,10,ok,ok
Landmark Cars Ltd.,2022,2022-12-23,-0.0908102766798418,Landmark_Cars_Ltd_,182286,28303,75,75,0,,False,1,1,0,0,0,0,2,0,9,0,8,10,0,3,0,ok,ok
Abans Holdings Ltd.,2022,2022-12-23,-0.1998148148148147,Abans_Holdings_Ltd_,172683,26954,70,70,0,,False,1,7,2,0,0,2,0,0,5,0,6,6,0,0,0,ok,ok
KFin Technologies Ltd.,2022,2022-12-29,-0.0054644808743169,KFin_Technologies_Ltd_,223562,34993,76,76,0,,False,10,17,3,0,0,2,1,4,7,0,9,17,1,1,0,ok,ok
Elin Electronics Ltd.,2022,2022-12-30,-0.0777327935222671,Elin_Electronics_Ltd_,155161,24071,70,70,0,,False,1,3,4,0,0,0,0,6,2,0,6,2,0,0,8,ok,ok
Radiant Cash Management Services Ltd.,2023,2023-01-04,0.1138297872340425,Radiant_Cash_Management_Services_Ltd_,146787,23090,56,56,0,,False,4,1,2,0,0,1,0,0,9,0,6,5,4,13,3,ok,ok
Sah Polymers Ltd.,2023,2023-01-12,0.3730769230769231,Sah_Polymers_Ltd_,193689,30344,73,79,6,"38,39,40,41,42,70",False,0,10,1,1,0,1,0,0,4,1,8,4,0,0,6,ok,ok
Divgi TorqTransfer Systems Ltd.,2023,2023-03-14,0.0256779661016948,Divgi_TorqTransfer_Systems_Ltd_,149358,23314,68,68,0,,False,0,1,8,0,0,1,0,0,4,0,6,7,0,0,0,ok,ok
Global Surfaces Ltd.,2023,2023-03-23,0.2207142857142857,Global_Surfaces_Ltd_,173271,27070,80,81,1,11,False,0,7,2,1,0,3,0,5,8,1,5,5,0,0,1,ok,ok
Udayshivakumar Infra Ltd.,2023,2023-04-03,-0.1,Udayshivakumar_Infra_Ltd_,194131,30580,73,73,0,,False,2,2,1,0,0,0,1,0,7,0,6,9,0,0,3,ok,ok
Avalon Technologies Ltd.,2023,2023-04-18,-0.0884174311926605,Avalon_Technologies_Ltd_,201799,31264,78,78,0,,False,1,3,3,1,0,1,0,0,4,0,4,10,4,0,1,ok,ok
Mankind Pharma Ltd.,2023,2023-05-09,0.3185648148148147,Mankind_Pharma_Ltd_,242233,37132,78,78,0,,False,0,9,0,0,0,2,0,6,9,0,3,12,0,2,0,ok,ok
IKIO Lighting Ltd.,2023,2023-06-16,0.4166666666666667,IKIO_Lighting_Ltd_,203640,31469,81,81,0,,False,0,2,7,1,0,0,1,0,6,1,2,6,0,0,0,ok,ok
HMA Agro Industries Ltd.,2023,2023-07-04,-0.0004273504273504,HMA_Agro_Industries_Ltd_,170220,26809,79,79,0,,False,0,7,1,0,0,1,0,0,8,0,7,5,0,0,12,ok,ok
ideaForge Technology Ltd.,2023,2023-07-07,0.9278273809523808,ideaForge_Technology_Ltd_,155713,24422,70,70,0,,False,1,5,0,0,0,1,0,0,8,0,7,9,0,0,0,ok,ok
Cyient DLM Ltd.,2023,2023-07-10,0.5877358490566038,Cyient_DLM_Ltd_,180459,28164,64,64,0,,False,0,4,8,2,0,2,0,1,0,0,9,5,4,0,4,ok,ok
Senco Gold Ltd.,2023,2023-07-14,0.2774447949526814,Senco_Gold_Ltd_,208274,32628,73,73,0,,False,6,10,0,0,0,5,0,0,4,0,7,7,7,0,0,ok,ok
Utkarsh Small Finance Bank Ltd.,2023,2023-07-21,0.9176,Utkarsh_Small_Finance_Bank_Ltd_,241326,37932,88,88,0,,False,2,20,0,0,0,1,1,3,8,0,8,12,11,2,0,ok,ok
Netweb Technologies India Ltd.,2023,2023-07-27,0.821,Netweb_Technologies_India_Ltd_,168192,26241,85,87,2,"31,32",False,0,6,7,0,0,2,0,0,5,0,4,8,0,0,0,ok,ok
Yatharth Hospital & Trauma Care Services Ltd.,2023,2023-08-07,0.1128333333333334,Yatharth_Hospital___Trauma_Care_Services_Ltd_,214777,33143,81,81,0,,False,2,11,0,0,0,1,1,0,13,0,7,4,0,2,0,ok,ok
SBFC Finance Ltd.,2023,2023-08-16,0.6177192982456139,SBFC_Finance_Ltd_,160101,25093,77,78,1,31,False,0,4,0,0,0,2,2,3,3,0,10,4,1,0,0,ok,ok
Concord Biotech Ltd.,2023,2023-08-18,0.2710526315789474,Concord_Biotech_Ltd_,150393,23276,65,65,0,,False,0,4,0,2,0,1,0,0,8,0,1,5,0,2,0,ok,ok
TVS Supply Chain Solutions Ltd.,2023,2023-08-23,0.0200507614213197,TVS_Supply_Chain_Solutions_Ltd_,172609,26813,70,70,0,,False,2,4,3,0,0,10,0,3,9,0,9,11,3,0,9,ok,ok
Pyramid Technoplast Ltd.,2023,2023-08-29,0.0587349397590361,Pyramid_Technoplast_Ltd_,132486,20648,72,73,1,8,False,0,2,1,0,0,1,0,0,4,0,3,3,0,0,0,ok,ok
Aeroflex Industries Ltd.,2023,2023-08-31,0.5106481481481482,Aeroflex_Industries_Ltd_,147472,23153,64,64,0,,False,1,11,0,2,0,0,0,0,0,0,9,4,0,0,0,ok_E_standalone,ok_patched
Vishnu Prakash R.Punglia Ltd.,2023,2023-09-05,0.4740404040404041,Vishnu_Prakash_R_Punglia_Ltd_,189357,29511,81,81,0,,False,9,1,0,0,0,1,0,0,12,0,6,15,6,0,0,ok,ok
Rishabh Instruments Ltd.,2023,2023-09-11,0.0039682539682539,Rishabh_Instruments_Ltd_,238597,36636,87,87,0,,False,1,5,2,0,0,1,0,0,6,0,7,7,0,0,6,ok,ok
Ratnaveer Precision Engineering Ltd.,2023,2023-09-11,0.3714285714285715,Ratnaveer_Precision_Engineering_Ltd_,186083,29079,85,85,0,,False,0,8,1,0,0,3,0,0,7,0,7,4,0,0,2,ok,ok
Jupiter Life Line Hospitals Ltd.,2023,2023-09-18,0.4629251700680272,Jupiter_Life_Line_Hospitals_Ltd_,163970,25122,69,69,0,,False,2,11,0,0,0,1,0,0,6,0,6,16,8,0,9,ok,ok
R R Kabel Ltd.,2023,2023-09-20,0.1561835748792271,R_R_Kabel_Ltd_,194155,29972,74,78,4,"1,48,50,64",False,0,0,0,0,0,1,0,1,6,0,7,3,2,0,1,ok,ok
EMS Ltd.,2023,2023-09-21,0.3258293838862559,EMS_Ltd_,226073,35640,100,100,0,,False,0,5,0,0,0,2,0,0,5,0,5,6,0,0,0,ok_A_strict,ok_patched
Zaggle Prepaid Ocean Services Ltd.,2023,2023-09-22,-0.0347560975609755,Zaggle_Prepaid_Ocean_Services_Ltd_,177587,27381,67,67,0,,False,0,6,6,0,0,1,1,0,7,0,10,5,1,0,0,ok,ok
SAMHI Hotels Ltd.,2023,2023-09-22,0.1392857142857143,SAMHI_Hotels_Ltd_,209582,32824,80,80,0,,False,3,9,0,0,0,11,6,11,11,1,2,11,4,0,1,ok,ok
Signatureglobal (India) Ltd.,2023,2023-09-27,0.1906493506493506,Signatureglobal__India__Ltd_,191651,29834,79,79,0,,False,1,3,0,0,0,9,0,0,3,0,7,7,0,0,6,ok,ok
Sai Silks (Kalamandir) Ltd.,2023,2023-09-27,0.1029279279279279,Sai_Silks__Kalamandir__Ltd_,36361,5658,42,42,0,,False,0,0,0,0,0,0,0,0,1,0,3,0,0,0,3,ok_C_letter,ok_patched
Yatra Online Ltd.,2023,2023-09-28,-0.0426056338028169,Yatra_Online_Ltd_,237595,36600,91,91,0,,False,11,6,1,1,0,1,1,12,9,0,7,12,10,0,0,ok,ok
