company,year,listing_date,first_day_return,file_stem,chars,words,n_numbered_items,max_item_number,n_sequence_gaps,sequence_gaps,is_ocr,n_criminal_proceedings,n_regulatory_action,n_customer_concentration,n_supplier_concentration,n_promoter_pledge_narrow,n_promoter_pledge_broad,n_going_concern,n_auditor_qualification,n_contingent_liabilities,n_pending_approvals,n_related_party,n_litigation_general,n_rupee_near_litigation,n_rupee_near_contingent,n_rupee_near_related_party,extraction_status,extraction_family
India Shelter Finance Corp.Ltd.,2023,2023-12-20,0.1024340770791075,India_Shelter_Finance_Corp_Ltd_,171787,27024,75,75,0,,False,0,7,0,0,0,2,0,0,5,0,7,4,5,0,0,ok,ok
DOMS Industries Ltd.,2023,2023-12-20,0.6846202531645569,DOMS_Industries_Ltd_,155990,24331,71,71,0,,False,0,0,0,1,0,0,0,0,6,0,6,10,1,0,3,ok,ok
Inox India Ltd.,2023,2023-12-21,0.4240909090909091,Inox_India_Ltd_,183276,28279,85,85,0,,False,2,5,3,1,0,1,0,0,6,3,4,6,0,0,0,ok,ok
Suraj Estate Developers Ltd.,2023,2023-12-26,-0.0713888888888888,Suraj_Estate_Developers_Ltd_,223481,34738,92,92,0,,False,2,8,0,0,0,7,0,10,3,0,7,7,1,0,6,ok,ok
Motisons Jewellers Ltd.,2023,2023-12-26,0.8396363636363637,Motisons_Jewellers_Ltd_,207379,31515,66,126,60,"66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85",False,12,9,0,0,0,1,0,0,7,0,8,5,0,3,0,ok,ok
Muthoot Microfin Ltd.,2023,2023-12-26,-0.0852233676975945,Muthoot_Microfin_Ltd_,166032,26174,69,69,0,,False,2,14,0,0,0,0,0,3,7,0,9,11,3,0,0,ok,ok
Happy Forgings Ltd.,2023,2023-12-27,0.2115294117647058,Happy_Forgings_Ltd_,181100,28134,76,76,0,,False,4,3,12,1,0,1,0,0,4,0,14,5,0,0,0,ok,ok
Credo Brands Marketing Ltd.,2023,2023-12-27,0.1160714285714285,Credo_Brands_Marketing_Ltd_,208681,32645,83,83,0,,False,0,5,0,0,0,1,0,5,5,0,8,6,1,0,0,ok,ok
RBZ Jewellers Ltd.,2023,2023-12-27,0.0498999999999999,RBZ_Jewellers_Ltd_,178442,27921,79,79,0,,False,0,7,3,3,0,1,0,0,7,0,7,7,4,3,0,ok,ok
Azad Engineering Ltd.,2023,2023-12-28,0.292175572519084,Azad_Engineering_Ltd_,198811,30857,70,70,0,,False,0,6,10,9,0,3,0,0,7,0,6,7,1,0,0,ok,ok
Innova Captab Ltd.,2023,2023-12-29,0.2168526785714285,Innova_Captab_Ltd_,172455,26494,81,81,0,,False,0,1,12,0,0,0,1,0,7,0,10,8,0,6,0,ok,ok
Jyoti CNC Automation Ltd.,2024,2024-01-16,0.3086102719033232,Jyoti_CNC_Automation_Ltd_,173657,27134,83,83,0,,False,2,1,6,0,0,2,8,0,10,0,8,7,3,1,4,ok,ok
Medi Assist Healthcare Services Ltd.,2024,2024-01-23,0.110645933014354,Medi_Assist_Healthcare_Services_Ltd_,185110,28629,64,64,0,,False,2,9,0,0,0,2,1,6,5,0,11,12,1,1,3,ok,ok
EPACK Durable Ltd.,2024,2024-01-30,-0.0969565217391304,EPACK_Durable_Ltd_,181422,28292,80,84,4,"71,72,74,79",False,0,2,4,3,0,1,0,8,5,0,9,5,0,0,0,ok,ok
Nova AgriTech Ltd.,2024,2024-01-31,0.4339024390243902,Nova_AgriTech_Ltd_,186565,29226,88,88,0,,False,6,9,0,0,0,0,0,0,6,0,12,14,0,0,0,ok,ok
BLS E-Services Ltd.,2024,2024-02-06,1.7462962962962962,BLS_E-Services_Ltd_,190966,29520,94,94,0,,False,1,10,0,0,0,2,0,0,6,0,3,9,2,0,0,ok,ok
Apeejay Surrendra Park Hotels Ltd.,2024,2024-02-12,0.3125806451612902,Apeejay_Surrendra_Park_Hotels_Ltd_,274573,42835,90,91,1,12,False,4,8,0,0,0,2,10,14,13,0,9,10,3,7,0,ok,ok
